,Unnamed: 0,GENDER,SENIORCITIZEN,PARTNER,DEPENDENTS,TENURE,PHONESERVICE,PAPERLESSBILLING,MONTHLYCHARGES,TOTALCHARGES,MONTHLY_MINUTES_OF_USE,TOTAL_MINUTES_OF_USE,MONTHLY_SMS,TOTAL_SMS,MULTIPLELINES_No,MULTIPLELINES_No phone service,MULTIPLELINES_Yes,INTERNETSERVICE_DSL,INTERNETSERVICE_Fiber optic,INTERNETSERVICE_No,ONLINESECURITY_No,ONLINESECURITY_No internet service,ONLINESECURITY_Yes,ONLINEBACKUP_No,ONLINEBACKUP_No internet service,ONLINEBACKUP_Yes,DEVICEPROTECTION_No,DEVICEPROTECTION_No internet service,DEVICEPROTECTION_Yes,TECHSUPPORT_No,TECHSUPPORT_No internet service,TECHSUPPORT_Yes,STREAMINGTV_No,STREAMINGTV_No internet service,STREAMINGTV_Yes,STREAMINGMOVIES_No,STREAMINGMOVIES_No internet service,STREAMINGMOVIES_Yes,CONTRACT_Month-to-month,CONTRACT_One year,CONTRACT_Two year,PAYMENTMETHOD_Bank transfer automatic,PAYMENTMETHOD_Credit card automatic,PAYMENTMETHOD_Electronic check,PAYMENTMETHOD_Mailed check
1441,1441.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,44.4,44.4,888.0,2220.0,61.0,1007.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1447,1447.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,89.9,89.9,1798.0,4495.0,361.0,1282.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1455,1455.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,64.35,352.65,1287.0,17633.0,336.0,786.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1459,1459.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,50.8,50.8,1016.0,2540.0,422.0,1031.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1464,1464.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,95.1,307.4,1902.0,15370.0,670.0,1086.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1465,1465.0,1.0,0.0,0.0,0.0,22.0,1.0,1.0,94.65,2104.55,1893.0,105228.0,235.0,1122.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1466,1466.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,80.6,319.15,1612.0,15958.0,675.0,1617.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1474,1474.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,105.1,1582.75,2102.0,79138.0,804.0,1568.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1477,1477.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,110.1,1043.3,2202.0,52165.0,949.0,1169.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1479,1479.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,83.9,497.55,1678.0,24878.0,785.0,1655.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1482,1482.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,84.35,609.65,1687.0,30483.0,688.0,762.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1493,1493.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,98.9,1120.95,1978.0,56048.0,73.0,793.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1496,1496.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,98.3,923.5,1966.0,46175.0,573.0,877.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1497,1497.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,93.85,1625.65,1877.0,81283.0,236.0,824.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1500,1500.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,100.5,918.6,2010.0,45930.0,177.0,423.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1505,1505.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,72.85,688.65,1457.0,34433.0,288.0,709.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1506,1506.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,89.0,1288.3,1780.0,64415.0,81.0,157.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1510,1510.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,73.55,73.55,1471.0,3678.0,327.0,444.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1520,1520.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,79.4,205.05,1588.0,10253.0,768.0,776.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1527,1527.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,84.6,360.1,1692.0,18005.0,691.0,1374.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1528,1528.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,83.25,308.05,1665.0,15403.0,293.0,510.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1536,1536.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,74.4,215.8,1488.0,10790.0,567.0,820.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1541,1541.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,44.95,85.15,899.0,4258.0,252.0,641.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1545,1545.0,1.0,0.0,0.0,0.0,22.0,1.0,1.0,95.1,2162.6,1902.0,108130.0,308.0,407.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1546,1546.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,44.7,44.7,894.0,2235.0,306.0,699.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1548,1548.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,56.75,245.15,1135.0,12258.0,25.0,746.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1554,1554.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,45.7,45.7,914.0,2285.0,570.0,1006.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1555,1555.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,100.3,832.35,2006.0,41618.0,545.0,1303.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1559,1559.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,96.0,174.8,1920.0,8740.0,985.0,1185.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1560,1560.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,90.55,90.55,1811.0,4528.0,525.0,1279.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1566,1566.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,75.25,888.65,1505.0,44433.0,175.0,1047.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1572,1572.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,86.6,86.6,1732.0,4330.0,107.0,174.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1586,1586.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,94.3,424.45,1886.0,21223.0,390.0,1039.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1589,1589.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,95.35,660.9,1907.0,33045.0,765.0,950.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1591,1591.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,69.55,284.9,1391.0,14245.0,788.0,864.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1595,1595.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,90.1,1612.75,1802.0,80638.0,157.0,381.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1596,1596.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,68.95,119.75,1379.0,5988.0,271.0,1116.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1597,1597.0,1.0,0.0,1.0,1.0,32.0,1.0,1.0,99.55,3204.65,1991.0,160233.0,65.0,82.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1599,1599.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,50.15,160.85,1003.0,8043.0,76.0,481.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1600,1600.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,95.9,827.45,1918.0,41373.0,741.0,1178.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1601,1601.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,49.5,49.5,990.0,2475.0,593.0,623.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1609,1609.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,84.7,392.5,1694.0,19625.0,270.0,803.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1613,1613.0,1.0,1.0,0.0,0.0,8.0,1.0,1.0,100.6,819.4,2012.0,40970.0,347.0,826.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1616,1616.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,88.3,273.75,1766.0,13688.0,15.0,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1619,1619.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,92.1,729.95,1842.0,36498.0,826.0,1601.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1626,1626.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,90.45,1266.1,1809.0,63305.0,297.0,1192.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1639,1639.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,80.0,412.5,1600.0,20625.0,55.0,774.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1640,1640.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,84.7,832.05,1694.0,41603.0,915.0,1041.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1641,1641.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,89.55,185.55,1791.0,9278.0,325.0,702.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1650,1650.0,1.0,0.0,1.0,0.0,24.0,1.0,1.0,89.25,2210.2,1785.0,110510.0,324.0,416.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1653,1653.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,69.75,144.55,1395.0,7228.0,327.0,520.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1655,1655.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,98.05,713.0,1961.0,35650.0,268.0,329.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1659,1659.0,0.0,0.0,0.0,0.0,41.0,1.0,1.0,114.5,4527.45,2290.0,226373.0,389.0,779.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1661,1661.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,69.55,200.2,1391.0,10010.0,967.0,1463.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1665,1665.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,80.95,171.15,1619.0,8558.0,858.0,1164.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1667,1667.0,0.0,1.0,0.0,0.0,13.0,1.0,1.0,74.3,940.35,1486.0,47018.0,175.0,490.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1668,1668.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,89.7,1047.7,1794.0,52385.0,689.0,1010.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1670,1670.0,1.0,1.0,1.0,0.0,17.0,1.0,1.0,100.45,1622.45,2009.0,81123.0,85.0,941.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1677,1677.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,80.55,80.55,1611.0,4028.0,163.0,1040.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1678,1678.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,81.25,580.1,1625.0,29005.0,40.0,902.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1687,1687.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,79.75,769.1,1595.0,38455.0,31.0,522.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1692,1692.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,94.4,387.2,1888.0,19360.0,894.0,1559.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1704,1704.0,1.0,1.0,1.0,0.0,39.0,1.0,1.0,105.65,4284.8,2113.0,214240.0,423.0,747.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1705,1705.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,74.65,544.55,1493.0,27228.0,352.0,818.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1711,1711.0,0.0,1.0,1.0,0.0,11.0,1.0,1.0,104.05,1133.65,2081.0,56683.0,430.0,1118.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1721,1721.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,75.2,775.3,1504.0,38765.0,64.0,951.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1724,1724.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,60.25,170.5,1205.0,8525.0,613.0,1244.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1725,1725.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,95.15,196.9,1903.0,9845.0,75.0,1023.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1726,1726.0,1.0,0.0,1.0,1.0,13.0,1.0,1.0,96.65,1162.85,1933.0,58143.0,281.0,605.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1735,1735.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,80.4,224.05,1608.0,11203.0,98.0,1077.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1736,1736.0,0.0,1.0,1.0,0.0,23.0,1.0,1.0,95.1,2326.05,1902.0,116303.0,597.0,1137.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
